DATAFLOW,LAST UPDATE,freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2023,118,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2024,116,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2025,115,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2014,128,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2015,127,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2016,126,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2017,128,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2018,127,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2019,124,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2020,131,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2021,133,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2022,134,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2023,126,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2024,127,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2025,127,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2014,108,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2015,108,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2016,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2017,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2018,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2019,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2020,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2021,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2022,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2023,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2024,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2025,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2014,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2015,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2016,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2017,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2018,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2019,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2020,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2021,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2022,105,,
