DATAFLOW,LAST UPDATE,freq,age,statinfo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2020,31.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2021,32.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2022,31.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2023,31.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2024,31.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2025,31.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2014,34.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2015,34.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2016,34.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2017,34.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2018,33.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2019,33.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2020,32.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2021,33.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2022,32.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2023,31.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2024,31.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,ES,2025,30.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2014,30.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2015,30.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2016,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2017,30.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2018,30.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2019,30.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2020,30.0,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2021,30.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2022,29.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2023,29.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2024,29.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EU27_2020,2025,29.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2014,25.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2015,25.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2016,25.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2017,25.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2018,25.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2019,26.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2020,26.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2021,25.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2022,26.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2023,26.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2024,26.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FI,2025,27.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2014,29.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2015,29.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2016,29.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2017,28.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2018,28.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2019,29.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2020,29.2,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2021,29.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2022,29.8,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2023,29.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2024,30.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,FR,2025,30.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2014,30.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2015,30.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2016,29.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2017,29.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2018,29.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2019,29.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2020,28.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2021,29.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2022,28.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2023,29.7,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2024,29.8,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HR,2025,28.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2014,28.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2015,28.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2016,28.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2017,28.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2018,28.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2019,26.8,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2020,28.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2021,27.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2022,26.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2023,28.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2024,28.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,HU,2025,29.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2014,31.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2015,29.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2016,29.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2017,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2018,28.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2019,28.0,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2020,27.6,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2021,26.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2022,26.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2023,27.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2024,26.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IE,2025,27.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2014,22.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2015,24.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2016,24.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2017,25.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2018,23.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2019,23.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IS,2020,24.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2014,32.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2015,32.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2016,33.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2017,32.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2018,33.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2019,32.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2020,32.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2021,32.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,IT,2022,32.7,,
